level,section,label,url,parent
utility,utility_nav,Support,/en/support,
utility,utility_nav,Contact Sales,/en/contact-us,
utility,utility_nav,Search,/en/search,
main,main_nav,Industries,/en/industries,
main,main_nav,Solutions,/en/solutions,
main,main_nav,Products,/en/products,
main,main_nav,Partners,/en/partners,
main,main_nav,Company,/en/company,
mega_header,industries,Education Solutions,/en/industries/education,Industries
mega_child,industries,Smart Campus,/en/industries/education/intelligent-campus,Education Solutions
mega_child,industries,Safe Campus,/en/industries/education/intelligent-campus/safe-and-secure-campus,Education Solutions
mega_child,industries,Student Centered Learning,/en/industries/education/intelligent-campus/student-centric-services,Education Solutions
mega_child,industries,Education Continuity,/en/solutions/business-continuity/continuity-of-learning,Education Solutions
mega_child,industries,E-rate,/en/industries/education/e-rate,Education Solutions
mega_header,industries,Energy and Utilities Solutions,/en/industries/energy-and-utilities,Industries
mega_header,industries,Digital Government Services,/en/industries/government,Industries
mega_child,industries,Connected Cities,/en/industries/government/connected-cities,Digital Government Services
mega_child,industries,Defense Solutions,/en/industries/government/defense-solutions,Digital Government Services
mega_child,industries,Public Safety Solutions,/en/industries/government/public-safety-solutions,Digital Government Services
mega_header,industries,Healthcare Solutions,/en/industries/healthcare,Industries
mega_child,industries,Digital Health,/en/industries/healthcare/digital-health,Healthcare Solutions
mega_child,industries,Senior Living Technology,/en/industries/healthcare/senior-living,Healthcare Solutions
mega_header,industries,Hospitality Solutions,/en/industries/hospitality,Industries
mega_child,industries,Guest Experience,/en/industries/hospitality/guest-experience,Hospitality Solutions
mega_header,industries,Manufacturing Solutions,/en/industries/manufacturing,Industries
mega_header,industries,Smart Building Technology,/en/industries/government/smart-buildings,Industries
mega_header,industries,Transportation Solutions,/en/industries/transportation,Industries
mega_child,industries,Smart Airport Solutions,/en/industries/transportation/air,Transportation Solutions
mega_child,industries,Intelligent Transport Systems,/en/industries/transportation/its,Transportation Solutions
mega_child,industries,Smart Ports,/en/industries/transportation/ports,Transportation Solutions
mega_child,industries,Smart Railways,/en/industries/transportation/rail,Transportation Solutions
mega_header,industries,Small & Medium Business,/en/solutions/smb,Industries
mega_child,industries,OXO Connect,/en/products/platforms/oxo-connect,Small & Medium Business
mega_child,industries,ALE Deskphones,/en/products/devices/ale-deskphones,Small & Medium Business
mega_child,industries,VoIP Softphone,/en/products/applications/ip-desktop-softphone,Small & Medium Business
mega_child,industries,PIMphony,/en/products/applications/pimphony,Small & Medium Business
mega_child,industries,DECT Handsets,/en/products/devices/dect-handsets,Small & Medium Business
mega_child,industries,WLAN Handsets,/en/products/devices/wlan-handsets,Small & Medium Business
mega_child,industries,DECT Base Stations,/en/products/platforms/dect-infrastructure,Small & Medium Business
mega_child,industries,Rainbow,/en/rainbow,Small & Medium Business
mega_header,solutions,Digital Age Communications,/en/solutions/digital-age-communications,Solutions
mega_child,solutions,Collaboration Solutions,/en/solutions/collaboration-solutions,Digital Age Communications
mega_header,solutions,Connected Solutions and Devices,/en/solutions/connected-solutions-and-devices,Solutions
mega_child,solutions,Cloud Communications,/en/solutions/cloud-communications,Connected Solutions and Devices
mega_child,solutions,CPaaS,/en/solutions/communications-platform-as-a-service-cpaas,Connected Solutions and Devices
mega_child,solutions,IoT,/en/solutions/iot,Connected Solutions and Devices
mega_child,solutions,Purple on Demand,/en/solutions/purple-on-demand,Connected Solutions and Devices
mega_child,solutions,Security,/en/solutions/security,Connected Solutions and Devices
mega_child,solutions,Unified Communications,/en/solutions/unified-communications,Connected Solutions and Devices
mega_child,solutions,Customer Service Applications,/en/solutions/e-services,Connected Solutions and Devices
mega_child,solutions,Everything as a Service (XaaS),/en/solutions/everything-as-a-service-xaas,Connected Solutions and Devices
mega_child,solutions,Hybrid Workplace,/en/solutions/hybrid-workplace,Connected Solutions and Devices
mega_child,solutions,Digital Dividends,/en/solutions/digital-dividends,Connected Solutions and Devices
mega_header,solutions,Digital Age Networking,/en/solutions/digital-age-networking,Solutions
mega_header,solutions,Autonomous Network,/en/solutions/autonomous-network,Solutions
mega_child,solutions,Data Center Solutions,/en/solutions/data-center,Autonomous Network
mega_child,solutions,Hybrid POL,/en/solutions/hybrid-pol,Autonomous Network
mega_child,solutions,Industrial Network Solutions,/en/solutions/industrial-networks,Autonomous Network
mega_child,solutions,Mission Critical Networks,/en/solutions/mission-critical-networks,Autonomous Network
mega_child,solutions,OmniFabric,/en/solutions/omnifabric,Autonomous Network
mega_child,solutions,Optical Networking Solutions,/en/solutions/optical-solutions,Autonomous Network
mega_child,solutions,SD-WAN & SASE,/en/solutions/sd-wan,Autonomous Network
mega_child,solutions,Shortest Path Bridging (SPB),/en/solutions/shortest-path-bridging,Autonomous Network
mega_child,solutions,Wi-Fi Solutions,/en/solutions/wifi-solutions,Autonomous Network
mega_header,solutions,Business Innovation,/en/solutions/business-innovation,Solutions
mega_child,solutions,OmniAccess Stellar Asset Tracking,/en/products/asset-tracking,Business Innovation
mega_child,solutions,Network as a Service (NaaS),/en/solutions/network-as-a-service,Business Innovation
mega_child,solutions,Video Surveillance Network,/en/solutions/video-surveillance,Business Innovation
mega_header,solutions,IoT Networks,/en/solutions/iot,Solutions
mega_child,solutions,Private 5G Network,/en/solutions/private-5g-network,IoT Networks
mega_child,solutions,Security,/en/solutions/security,IoT Networks
mega_header,solutions,Business Continuity,/en/solutions/business-continuity,Solutions
mega_child,solutions,Return to Business,/en/solutions/business-continuity/return-to-business,Business Continuity
mega_child,solutions,Education Continuity,/en/solutions/business-continuity/continuity-of-learning,Business Continuity
