page_url,file_url,anchor_text,document_type
# ===== SWITCHES =====
# OmniSwitch 6360
/en/products/switches/omniswitch-6360,/-/media/assets/internet/documents/omniswitch-6360-datasheet-en.pdf,Alcatel-Lucent OmniSwitch 6360 Stackable Gigabit Ethernet LAN Switch,datasheet
/en/products/switches/omniswitch-6360,/-/media/assets/internet/documents/omniswitch-lightning-config-brochure-en.pdf,OmniSwitch deployment made easy,brochure
/en/products/switches/omniswitch-6360,/-/media/assets/internet/documents/product-omniswitch-matrix-comparison-en.pdf,OmniSwitch Product Line Matrix Comparison,product-matrix
# OmniSwitch 6560
/en/products/switches/omniswitch-6560,/-/media/assets/internet/documents/omniswitch-6560-6560e-datasheet-en.pdf,OmniSwitch 6560/E,datasheet
/en/products/switches/omniswitch-6560,/-/media/assets/internet/documents/network-infrasctructure-solution-security-tech-brief-en.pdf,Network infrastructure solutions: Security best practices,tech-brief
/en/products/switches/omniswitch-6560,/-/media/assets/internet/documents/product-omniswitch-matrix-comparison-en.pdf,OmniSwitch Product Line Matrix Comparison,product-matrix
# OmniSwitch 6570M
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-6570m-datasheet-en.pdf,Alcatel-Lucent OmniSwitch 6570M Datasheet,datasheet
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r2-network-configuration-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R2 Network Configuration Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r3-switch-management-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R3 Switch Management Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r3-cli-reference-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R3 CLI Reference Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r2-switch-management-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R2 Switch Management Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r2-cli-reference-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R2 CLI Reference Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r1-network-configuration-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R1 Network Configuration Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r1-switch-management-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R1 Switch Management Guide,user-guide
/en/products/switches/omniswitch-6570m,/-/media/assets/internet/documents/omniswitch-aos-release-810r1-cli-reference-user-guide-rev-a-en.zip,OmniSwitch AOS Release 8.10R1 CLI Reference Guide,user-guide
