page_url,file_url,anchor_text,document_type
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-portfolio-foldout-interactive-flyer-en.pdf,"Portfolio overview, Cloud, Comms and Networks - interactive",flyer
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/cpaas-the-digital-age-communications-engine-whitepaper-en.pdf,CPaaS: the Digital Age Communications Engine,whitepaper
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-connect-brochure-en.pdf,Alcatel-Lucent Enterprise Connect,brochure
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/customer-service-applications-ecatalog-en.pdf,Customer Service eCatalog,ebook
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/unlock-superpowers-comms-platform-infographic-en.pdf,Unlock the superpowers of your communications platform,infographic
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-deskphones-ecatalog-brochure-en.pdf,ALE DeskPhones Interactive catalogue,brochure
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/aged-communication-systems-infographic-en-02.pdf,Protect your business - Upgrade your communication system,infographic
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/reasons-to-upgrade-your-communication-system-solution-sheet-en.pdf,Reasons to upgrade your communication system,solution-sheet
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-sip-deskphones-ecatalog-brochure-en.pdf,Alcatel-Lucent Enterprise SIP DeskPhones,brochure
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/ale-pod-brochure-en.pdf,Purple on Demand by Alcatel-Lucent Enterprise,brochure
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://www.al-enterprise.com/-/media/assets/internet/documents/digital-age-communications-delivers-digital-dividends-with-tangible-business-outcomes-ebook-en.pdf,Digital Age Communications delivers digital dividends with tangible business outcomes,ebook
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/data-sovereignty-and-security-flyer-en.pdf,Data Sovereignty and Security Flyer,flyer
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/rainbow-service-hds-solutionsheet-fr.pdf,Rainbow Service HDS (FR),solution-sheet
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/rainbow-service-hds-solutionsheet-en.pdf,Rainbow Service HDS (EN),solution-sheet
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/rainbow-room-datasheet-en.pdf,Rainbow Room datasheet,datasheet
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/rainbow-end-customer-brochure-en.pdf,Rainbow by Alcatel-Lucent Enterprise,brochure
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/smart-building-of-the-future-whitepaper-en.pdf,Toward Smart Building 5.0,whitepaper
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/ms-team-datasheet-en.pdf,Alcatel-Lucent Rainbow telephony connector for Microsoft Teams,datasheet
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/nec-exciting-uc-hospitality-flyer-en.pdf,What'll you do now that NEC is checking out of your hotel UC?,flyer
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/nec-exits-uc-hospitality-faq-flyer-en.pdf,What happens now that NEC is checking out of your hotel?,flyer
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/securing-unified-communications-and-collaboration-solutions-whitepaper-en.pdf,Securing unified communications and collaboration solutions,whitepaper
https://www.al-enterprise.com/en/solutions/collaboration-solutions,https://www.al-enterprise.com/-/media/assets/internet/documents/moae-idc-white-paper-web-en.pdf,Succeeding in the new way of working - IDC White Paper,whitepaper
https://www.al-enterprise.com/en/solutions/connected-solutions-and-devices,https://www.al-enterprise.com/-/media/assets/internet/documents/rainbow-service-hds-solutionsheet-fr.pdf,Rainbow Service HDS (FR),solution-sheet
https://www.al-enterprise.com/en/solutions/connected-solutions-and-devices,https://www.al-enterprise.com/-/media/assets/internet/documents/rainbow-service-hds-solutionsheet-en.pdf,Rainbow Service HDS (EN),solution-sheet
https://www.al-enterprise.com/en/solutions/connected-solutions-and-devices,https://www.al-enterprise.com/-/media/assets/internet/documents/omnipcx-open-gateway-datasheet-en.pdf,OmniPCX Open Gateway,datasheet
