page_url,image_url,alt_text,usage_context
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/team-co-working-open-space-rainbow-web-page-header-1785x725.jpg,Team co-working in open space,hero
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/solutions-dac-focus-topic-810x380.jpg,solutions-dac-focus-topic,feature
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/dac-pillars-web-visual-en-810x380.png,dac pillar visual,diagram
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/8158s-8168s-wlan-handset-f-480x480-product-showcase.png,8158s 8168s wlan handset,product
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/smart-deskphones-8088-right-4c-480x480-product-showcase.png,Smart Deskphones 8088 Product,product
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/rainbow-logo-cmyk-black-text-white-bckgd-double-product-showcase-image-480x480.png,Rainbow logo product showcase,product
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/oxe-purple-thumbnail-480x480.png,OXE Purple thumbnail,product
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/oxo-connect-evolution-f-480x480-product-showcase.png,OXO Connect Evolution front view,product
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/dect-handsets-8262-application-photo-left-4c-480x480-all.png,8262 DECT Handset,product
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/ale-logo.png,ale logo,icon
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/hospitality-homepage-promo.jpg,Man carrying a suitcase,feature
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/comms-platform-modernization-blog-image-402x226.jpg,brain,feature
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/aged-comms-blog-main-image-402x226.jpg,a group of business people sitting at a table talking,feature
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/data-management-blog-image_72dpi.jpg,a woman working on a laptop,feature
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/icon-social-linkedin.png,Linkedin,icon
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/icon-social-facebook-72dpi.png,Facebook,icon
https://www.al-enterprise.com/en/solutions/digital-age-communications,https://web-assets.al-enterprise.com/-/media/assets/internet/images/instagram-glyph-gradient-72dpi.png,Instagram,icon
